ContractClassID,ContractClassName,NPOClass,DefaultNPORate
1,FOOD,FOOD_NONALC,0.1
2,NA_BEV,FOOD_NONALC,0.1
3,BEER,ALCOHOL,0.08
4,LIQUOR,ALCOHOL,0.08
5,IGNORE,IGNORE,0
