ProductCode,ProductDescription,ContractClass,NPOClass,DefaultRate,Active
312115,N/A BEVERAGE SALES - TAXABLE,NA_BEV,FOOD_NONALC,0.1,1
313000,FOOD SALES - TAXABLE,FOOD,FOOD_NONALC,0.1,1
313004,LIQUOR SALES - TAXABLE,LIQUOR,ALCOHOL,0.08,1
313082,BEER PACKAGED SALES,BEER,ALCOHOL,0.08,1
313096,WINE SALES - TAXABLE,LIQUOR,ALCOHOL,0.08,1
FF-312114,Fan Friendly N/A beverage discount (CC36636),NA_BEV,FOOD_NONALC,0.1,1
FF-313076,Fan Friendly food discount (CC36636),FOOD,FOOD_NONALC,0.1,1
353008,Subcontract income (food%),FOOD,FOOD_NONALC,0.1,1
